Completion Time
0 minutes and 6.16 seconds
0 minutes and 4.77 seconds
0 minutes and 0.00 seconds
0 minutes and 0.00 seconds
0 minutes and 0.00 seconds
0 minutes and 14.54 seconds
0 minutes and 4.01 seconds
0 minutes and 19.17 seconds
0 minutes and 0.75 seconds
0 minutes and 1.04 seconds
0 minutes and 0.94 seconds
0 minutes and 7.85 seconds
0 minutes and 1.96 seconds
0 minutes and 1.01 seconds
0 minutes and 1.01 seconds
0 minutes and 1.01 seconds
0 minutes and 1.01 seconds
0 minutes and 0.00 seconds
0 minutes and 0.00 seconds
0 minutes and 0.00 seconds
0 minutes and 0.00 seconds
0 minutes and 1.83 seconds
0 minutes and 0.00 seconds
0 minutes and 13.24 seconds
0 minutes and 0.00 seconds
0 minutes and 5.93 seconds
0 minutes and 1.94 seconds
0 minutes and 4.99 seconds
0 minutes and 6.99 seconds
